rank,country_full,country_abrv,total_points,previous_points,rank_change,confederation,rank_date
83.0,Guatemala,GUA,15.0,0.0,83,CONCACAF,1992-12-31
32.0,Zambia,ZAM,38.0,0.0,32,CAF,1992-12-31
33.0,Portugal,POR,38.0,0.0,33,UEFA,1992-12-31
34.0,Austria,AUT,38.0,0.0,34,UEFA,1992-12-31
35.0,Colombia,COL,36.0,0.0,35,CONMEBOL,1992-12-31
36.0,Hungary,HUN,36.0,0.0,36,UEFA,1992-12-31
37.0,Costa Rica,CRC,35.0,0.0,37,CONCACAF,1992-12-31
38.0,Tunisia,TUN,35.0,0.0,38,CAF,1992-12-31
39.0,Ghana,GHA,34.0,0.0,39,CAF,1992-12-31
40.0,Honduras,HON,32.0,0.0,40,CONCACAF,1992-12-31
41.0,Morocco,MAR,32.0,0.0,41,CAF,1992-12-31
42.0,Turkey,TUR,31.0,0.0,42,UEFA,1992-12-31
31.0,Greece,GRE,38.0,0.0,31,UEFA,1992-12-31
43.0,Northern Ireland,NIR,31.0,0.0,43,UEFA,1992-12-31
45.0,Australia,AUS,29.0,0.0,45,AFC,1992-12-31
46.0,Iceland,ISL,29.0,0.0,46,UEFA,1992-12-31
47.0,Chile,CHI,28.0,0.0,47,CONMEBOL,1992-12-31
48.0,Saudi Arabia,KSA,28.0,0.0,48,AFC,1992-12-31
49.0,Korea Republic,KOR,28.0,0.0,49,AFC,1992-12-31
50.0,El Salvador,SLV,28.0,0.0,50,CONCACAF,1992-12-31
51.0,Senegal,SEN,27.0,0.0,51,CAF,1992-12-31
52.0,Qatar,QAT,27.0,0.0,52,AFC,1992-12-31
53.0,Malawi,MWI,27.0,0.0,53,CAF,1992-12-31
54.0,Zimbabwe,ZIM,27.0,0.0,54,CAF,1992-12-31
55.0,Gabon,GAB,27.0,0.0,55,CAF,1992-12-31
44.0,Finland,FIN,31.0,0.0,44,UEFA,1992-12-31
30.0,Algeria,ALG,39.0,0.0,30,CAF,1992-12-31
29.0,Yugoslavia,YUG,39.0,0.0,29,UEFA,1992-12-31
28.0,Wales,WAL,40.0,0.0,28,UEFA,1992-12-31
3.0,Brazil,BRA,56.0,0.0,3,CONMEBOL,1992-12-31
4.0,Sweden,SWE,56.0,0.0,4,UEFA,1992-12-31
5.0,England,ENG,55.0,0.0,5,UEFA,1992-12-31
6.0,Republic of Ireland,IRL,54.0,0.0,6,UEFA,1992-12-31
7.0,Netherlands,NED,54.0,0.0,7,UEFA,1992-12-31
8.0,Russia,RUS,52.0,0.0,8,UEFA,1992-12-31
9.0,Denmark,DEN,52.0,0.0,9,UEFA,1992-12-31
10.0,Argentina,ARG,51.0,0.0,10,CONMEBOL,1992-12-31
11.0,Romania,ROU,51.0,0.0,11,UEFA,1992-12-31
12.0,Switzerland,SUI,51.0,0.0,12,UEFA,1992-12-31
13.0,Nigeria,NGA,50.0,0.0,13,CAF,1992-12-31
14.0,Norway,NOR,49.0,0.0,14,UEFA,1992-12-31
15.0,Spain,ESP,49.0,0.0,15,UEFA,1992-12-31
16.0,Uruguay,URU,48.0,0.0,16,CONMEBOL,1992-12-31
17.0,Belgium,BEL,48.0,0.0,17,UEFA,1992-12-31
18.0,Czechoslovakia,TCH,47.0,0.0,18,UEFA,1992-12-31
19.0,France,FRA,46.0,0.0,19,UEFA,1992-12-31
20.0,Poland,POL,46.0,0.0,20,UEFA,1992-12-31
21.0,Egypt,EGY,45.0,0.0,21,CAF,1992-12-31
22.0,Cameroon,CMR,43.0,0.0,22,CAF,1992-12-31
23.0,Scotland,SCO,43.0,0.0,23,UEFA,1992-12-31
24.0,USA,USA,43.0,0.0,24,CONCACAF,1992-12-31
25.0,Mexico,MEX,43.0,0.0,25,CONCACAF,1992-12-31
26.0,Bulgaria,BUL,41.0,0.0,26,UEFA,1992-12-31
27.0,Côte d'Ivoire,CIV,41.0,0.0,27,CAF,1992-12-31
56.0,China PR,CHN,26.0,0.0,56,AFC,1992-12-31
2.0,Italy,ITA,57.0,0.0,2,UEFA,1992-12-31
57.0,Canada,CAN,25.0,0.0,57,CONCACAF,1992-12-31
59.0,United Arab Emirates,UAE,25.0,0.0,59,AFC,1992-12-31
90.0,Congo,CGO,13.0,0.0,90,CAF,1992-12-31
91.0,Malaysia,MAS,13.0,0.0,91,AFC,1992-12-31
92.0,Uganda,UGA,12.0,0.0,92,CAF,1992-12-31
93.0,Lithuania,LTU,12.0,0.0,93,UEFA,1992-12-31
94.0,Faroe Islands,FRO,12.0,0.0,94,UEFA,1992-12-31
95.0,Suriname,SUR,12.0,0.0,95,CONCACAF,1992-12-31
96.0,Syria,SYR,11.0,0.0,96,AFC,1992-12-31
97.0,Burkina Faso,BFA,11.0,0.0,97,CAF,1992-12-31
99.0,Latvia,LVA,10.0,0.0,99,UEFA,1992-12-31
100.0,Burundi,BDI,10.0,0.0,100,CAF,1992-12-31
101.0,Togo,TOG,10.0,0.0,101,CAF,1992-12-31
89.0,Singapore,SGP,13.0,0.0,89,AFC,1992-12-31
102.0,Angola,ANG,10.0,0.0,102,CAF,1992-12-31
104.0,Eswatini,SWZ,10.0,0.0,104,CAF,1992-12-31
105.0,St Vincent and the Grenadines,VIN,9.0,0.0,105,CONCACAF,1992-12-31
106.0,Fiji,FIJ,9.0,0.0,106,OFC,1992-12-31
107.0,Mozambique,MOZ,9.0,0.0,107,CAF,1992-12-31
108.0,Indonesia,IDN,9.0,0.0,108,AFC,1992-12-31
109.0,Antigua and Barbuda,ATG,8.0,0.0,109,CONCACAF,1992-12-31
110.0,Jordan,JOR,8.0,0.0,110,AFC,1992-12-31
111.0,Sudan,SDN,7.0,0.0,111,CAF,1992-12-31
112.0,Mauritius,MRI,7.0,0.0,112,CAF,1992-12-31
113.0,Croatia,CRO,7.0,0.0,113,UEFA,1992-12-31
114.0,Barbados,BRB,7.0,0.0,114,CONCACAF,1992-12-31
103.0,Luxembourg,LUX,10.0,0.0,103,UEFA,1992-12-31
88.0,Bahrain,BHR,13.0,0.0,88,AFC,1992-12-31
87.0,Bolivia,BOL,14.0,0.0,87,CONMEBOL,1992-12-31
86.0,Albania,ALB,14.0,0.0,86,UEFA,1992-12-31
60.0,Zaire,ZAI,25.0,0.0,60,CAF,1992-12-31
61.0,IR Iran,IRN,24.0,0.0,61,AFC,1992-12-31
62.0,Trinidad and Tobago,TRI,24.0,0.0,62,CONCACAF,1992-12-31
63.0,Guinea,GUI,24.0,0.0,63,CAF,1992-12-31
64.0,Israel,ISR,23.0,0.0,64,UEFA,1992-12-31
65.0,Ecuador,ECU,23.0,0.0,65,CONMEBOL,1992-12-31
66.0,Japan,JPN,22.0,0.0,66,AFC,1992-12-31
67.0,Jamaica,JAM,22.0,0.0,67,CONCACAF,1992-12-31
68.0,Paraguay,PAR,22.0,0.0,68,CONMEBOL,1992-12-31
69.0,Mali,MLI,22.0,0.0,69,CAF,1992-12-31
70.0,New Zealand,NZL,22.0,0.0,70,OFC,1992-12-31
71.0,Kuwait,KUW,21.0,0.0,71,AFC,1992-12-31
72.0,Cyprus,CYP,20.0,0.0,72,UEFA,1992-12-31
73.0,Malta,MLT,19.0,0.0,73,UEFA,1992-12-31
74.0,Madagascar,MAD,18.0,0.0,74,CAF,1992-12-31
75.0,Thailand,THA,18.0,0.0,75,AFC,1992-12-31
76.0,Kenya,KEN,17.0,0.0,76,CAF,1992-12-31
77.0,Korea DPR,PRK,16.0,0.0,77,AFC,1992-12-31
78.0,Peru,PER,16.0,0.0,78,CONMEBOL,1992-12-31
79.0,Sierra Leone,SLE,16.0,0.0,79,CAF,1992-12-31
80.0,Tanzania,TAN,15.0,0.0,80,CAF,1992-12-31
81.0,Niger,NIG,15.0,0.0,81,CAF,1992-12-31
82.0,Iraq,IRQ,15.0,0.0,82,AFC,1992-12-31
84.0,Liberia,LBR,15.0,0.0,84,CAF,1992-12-31
85.0,Ethiopia,ETH,14.0,0.0,85,CAF,1992-12-31
58.0,Bermuda,BER,25.0,0.0,58,CONCACAF,1992-12-31
1.0,Germany,GER,57.0,0.0,1,UEFA,1992-12-31
163.0,Somalia,SOM,0.0,0.0,163,CAF,1992-12-31
135.0,Cabo Verde,CPV,3.0,0.0,135,CAF,1992-12-31
142.0,Lesotho,LES,2.0,0.0,142,CAF,1992-12-31
143.0,India,IND,2.0,0.0,143,AFC,1992-12-31
144.0,Cuba,CUB,1.0,0.0,144,CONCACAF,1992-12-31
145.0,Pakistan,PAK,1.0,0.0,145,AFC,1992-12-31
146.0,Belarus,BLR,1.0,0.0,146,UEFA,1992-12-31
147.0,Seychelles,SEY,1.0,0.0,147,CAF,1992-12-31
148.0,Central African Republic,CTA,1.0,0.0,148,CAF,1992-12-31
149.0,Nepal,NEP,1.0,0.0,149,AFC,1992-12-31
150.0,The Gambia,GAM,1.0,0.0,150,CAF,1992-12-31
141.0,Dominican Republic,DOM,2.0,0.0,141,CONCACAF,1992-12-31
151.0,Equatorial Guinea,EQG,0.0,0.0,151,CAF,1992-12-31
153.0,Liechtenstein,LIE,0.0,0.0,153,UEFA,1992-12-31
154.0,Nicaragua,NCA,0.0,0.0,154,CONCACAF,1992-12-31
155.0,Chad,CHA,0.0,0.0,155,CAF,1992-12-31
156.0,Chinese Taipei,TPE,0.0,0.0,156,AFC,1992-12-31
157.0,Philippines,PHI,0.0,0.0,157,AFC,1992-12-31
158.0,Namibia,NAM,0.0,0.0,158,CAF,1992-12-31
159.0,Vanuatu,VAN,0.0,0.0,159,OFC,1992-12-31
160.0,Aruba,ARU,0.0,0.0,160,CONCACAF,1992-12-31
161.0,Lebanon,LBN,0.0,0.0,161,AFC,1992-12-31
152.0,Myanmar,MYA,0.0,0.0,152,AFC,1992-12-31
140.0,Brunei Darussalam,BRU,2.0,0.0,140,AFC,1992-12-31
139.0,Botswana,BOT,2.0,0.0,139,CAF,1992-12-31
137.0,Libya,LBY,2.0,0.0,137,CAF,1992-12-31
115.0,Yemen,YEM,6.0,0.0,115,AFC,1992-12-31
116.0,Oman,OMA,6.0,0.0,116,AFC,1992-12-31
117.0,Guinea-Bissau,GNB,6.0,0.0,117,CAF,1992-12-31
118.0,St Lucia,LCA,6.0,0.0,118,CONCACAF,1992-12-31
119.0,Hong Kong,HKG,5.0,0.0,119,AFC,1992-12-31
120.0,Panama,PAN,5.0,0.0,120,CONCACAF,1992-12-31
121.0,Grenada,GRN,5.0,0.0,121,CONCACAF,1992-12-31
122.0,Puerto Rico,PUR,5.0,0.0,122,CONCACAF,1992-12-31
123.0,Tahiti,TAH,5.0,0.0,123,OFC,1992-12-31
124.0,South Africa,RSA,5.0,0.0,124,CAF,1992-12-31
125.0,Venezuela,VEN,5.0,0.0,125,CONMEBOL,1992-12-31
126.0,San Marino,SMR,4.0,0.0,126,UEFA,1992-12-31
127.0,Benin,BEN,4.0,0.0,127,CAF,1992-12-31
128.0,Guyana,GUY,4.0,0.0,128,CONCACAF,1992-12-31
129.0,Ukraine,UKR,4.0,0.0,129,UEFA,1992-12-31
130.0,Haiti,HAI,4.0,0.0,130,CONCACAF,1992-12-31
131.0,Slovenia,SVN,3.0,0.0,131,UEFA,1992-12-31
132.0,Estonia,EST,3.0,0.0,132,UEFA,1992-12-31
133.0,Bangladesh,BAN,3.0,0.0,133,AFC,1992-12-31
134.0,Mauritania,MTN,3.0,0.0,134,CAF,1992-12-31
136.0,Solomon Islands,SOL,2.0,0.0,136,OFC,1992-12-31
162.0,Bahamas,BAH,0.0,0.0,162,CONCACAF,1992-12-31
163.0,Rwanda,RWA,0.0,0.0,163,CAF,1992-12-31
163.0,Maldives,MDV,0.0,0.0,163,AFC,1992-12-31
4.0,Sweden,SWE,56.0,56.0,0,UEFA,1993-08-08
32.0,Greece,GRE,40.0,38.0,1,UEFA,1993-08-08
1.0,Germany,GER,58.0,57.0,0,UEFA,1993-08-08
33.0,Morocco,MAR,40.0,32.0,-8,CAF,1993-08-08
34.0,Algeria,ALG,40.0,39.0,4,CAF,1993-08-08
35.0,Ecuador,ECU,40.0,23.0,-30,CONMEBOL,1993-08-08
36.0,Korea Republic,KOR,40.0,28.0,-13,AFC,1993-08-08
37.0,Bulgaria,BUL,39.0,41.0,11,UEFA,1993-08-08
38.0,Austria,AUT,39.0,38.0,4,UEFA,1993-08-08
39.0,Costa Rica,CRC,38.0,35.0,2,CONCACAF,1993-08-08
40.0,Northern Ireland,NIR,37.0,31.0,-3,UEFA,1993-08-08
41.0,Honduras,HON,37.0,32.0,1,CONCACAF,1993-08-08
42.0,Hungary,HUN,37.0,36.0,6,UEFA,1993-08-08
43.0,Japan,JPN,35.0,22.0,-23,AFC,1993-08-08
44.0,Saudi Arabia,KSA,34.0,28.0,-4,AFC,1993-08-08
45.0,China PR,CHN,34.0,26.0,-11,AFC,1993-08-08
46.0,Canada,CAN,34.0,25.0,-11,CONCACAF,1993-08-08
47.0,Finland,FIN,34.0,31.0,3,UEFA,1993-08-08
48.0,Ghana,GHA,34.0,34.0,9,CAF,1993-08-08
49.0,Chile,CHI,34.0,28.0,2,CONMEBOL,1993-08-08
50.0,Zimbabwe,ZIM,33.0,27.0,-4,CAF,1993-08-08
51.0,Qatar,QAT,32.0,27.0,-1,AFC,1993-08-08
167.0,Maldives,MDV,0.0,0.0,4,AFC,1993-08-08
167.0,Macau,MAC,0.0,0.0,167,AFC,1993-08-08
166.0,Bahamas,BAH,0.0,0.0,4,CONCACAF,1993-08-08
165.0,Aruba,ARU,0.0,0.0,5,CONCACAF,1993-08-08
31.0,Tunisia,TUN,40.0,35.0,-7,CAF,1993-08-08
30.0,Scotland,SCO,42.0,43.0,7,UEFA,1993-08-08
29.0,Côte d'Ivoire,CIV,43.0,41.0,2,CAF,1993-08-08
28.0,USA,USA,44.0,43.0,4,CONCACAF,1993-08-08
3.0,Switzerland,SUI,57.0,51.0,-9,UEFA,1993-08-08
2.0,Italy,ITA,57.0,57.0,0,UEFA,1993-08-08
6.0,Republic of Ireland,IRL,55.0,54.0,0,UEFA,1993-08-08
164.0,Vanuatu,VAN,0.0,0.0,5,OFC,1993-08-08
7.0,Russia,RUS,55.0,52.0,-1,UEFA,1993-08-08
8.0,Brazil,BRA,54.0,56.0,5,CONMEBOL,1993-08-08
9.0,Norway,NOR,54.0,49.0,-5,UEFA,1993-08-08
10.0,Denmark,DEN,53.0,52.0,1,UEFA,1993-08-08
11.0,England,ENG,53.0,55.0,6,UEFA,1993-08-08
12.0,France,FRA,52.0,46.0,-7,UEFA,1993-08-08
13.0,Spain,ESP,51.0,49.0,-2,UEFA,1993-08-08
14.0,Mexico,MEX,50.0,43.0,-11,CONCACAF,1993-08-08
5.0,Argentina,ARG,56.0,51.0,-5,CONMEBOL,1993-08-08
15.0,Czechoslovakia,TCH,50.0,47.0,-3,UEFA,1993-08-08
17.0,Nigeria,NGA,50.0,50.0,4,CAF,1993-08-08
18.0,Belgium,BEL,48.0,48.0,1,UEFA,1993-08-08
19.0,Colombia,COL,48.0,36.0,-16,CONMEBOL,1993-08-08
20.0,Poland,POL,48.0,46.0,0,UEFA,1993-08-08
21.0,Romania,ROU,47.0,51.0,10,UEFA,1993-08-08
22.0,Uruguay,URU,46.0,48.0,6,CONMEBOL,1993-08-08
23.0,Portugal,POR,46.0,38.0,-10,UEFA,1993-08-08
24.0,Cameroon,CMR,45.0,43.0,2,CAF,1993-08-08
25.0,Zambia,ZAM,45.0,38.0,-7,CAF,1993-08-08
26.0,Egypt,EGY,44.0,45.0,5,CAF,1993-08-08
27.0,Wales,WAL,44.0,40.0,-1,UEFA,1993-08-08
103.0,Hong Kong,HKG,12.0,5.0,-16,AFC,1993-08-08
16.0,Netherlands,NED,50.0,54.0,9,UEFA,1993-08-08
163.0,Chad,CHA,0.0,0.0,8,CAF,1993-08-08
102.0,Eswatini,SWZ,12.0,10.0,-2,CAF,1993-08-08
161.0,Sri Lanka,SRI,0.0,0.0,161,AFC,1993-08-08
73.0,Singapore,SGP,24.0,13.0,-16,AFC,1993-08-08
72.0,Cyprus,CYP,25.0,20.0,0,UEFA,1993-08-08
71.0,Zaire,ZAI,25.0,25.0,11,CAF,1993-08-08
70.0,Peru,PER,26.0,16.0,-8,CONMEBOL,1993-08-08
69.0,Israel,ISR,26.0,23.0,5,UEFA,1993-08-08
68.0,Malawi,MWI,27.0,27.0,15,CAF,1993-08-08
67.0,Paraguay,PAR,27.0,22.0,-1,CONMEBOL,1993-08-08
66.0,Thailand,THA,27.0,18.0,-9,AFC,1993-08-08
65.0,Guinea,GUI,28.0,24.0,2,CAF,1993-08-08
64.0,Gabon,GAB,29.0,27.0,9,CAF,1993-08-08
63.0,Turkey,TUR,29.0,31.0,21,UEFA,1993-08-08
62.0,El Salvador,SLV,30.0,28.0,12,CONCACAF,1993-08-08
61.0,Korea DPR,PRK,30.0,16.0,-16,AFC,1993-08-08
60.0,Kuwait,KUW,30.0,21.0,-11,AFC,1993-08-08
59.0,Bolivia,BOL,31.0,14.0,-28,CONMEBOL,1993-08-08
58.0,Senegal,SEN,31.0,27.0,7,CAF,1993-08-08
57.0,Iraq,IRQ,31.0,15.0,-25,AFC,1993-08-08
56.0,Yugoslavia,YUG,31.0,39.0,27,UEFA,1993-08-08
55.0,United Arab Emirates,UAE,31.0,25.0,-4,AFC,1993-08-08
54.0,IR Iran,IRN,32.0,24.0,-7,AFC,1993-08-08
53.0,Iceland,ISL,32.0,29.0,7,UEFA,1993-08-08
52.0,Australia,AUS,32.0,29.0,7,AFC,1993-08-08
104.0,Uganda,UGA,11.0,12.0,12,CAF,1993-08-08
74.0,Mali,MLI,24.0,22.0,5,CAF,1993-08-08
75.0,Malaysia,MAS,22.0,13.0,-16,AFC,1993-08-08
162.0,Philippines,PHI,0.0,0.0,5,AFC,1993-08-08
77.0,Niger,NIG,21.0,15.0,-4,CAF,1993-08-08
101.0,Puerto Rico,PUR,12.0,5.0,-21,CONCACAF,1993-08-08
100.0,Mozambique,MOZ,12.0,9.0,-7,CAF,1993-08-08
99.0,Liberia,LBR,12.0,15.0,15,CAF,1993-08-08
98.0,Indonesia,IDN,14.0,9.0,-10,AFC,1993-08-08
97.0,Oman,OMA,14.0,6.0,-19,AFC,1993-08-08
96.0,Burundi,BDI,14.0,10.0,-4,CAF,1993-08-08
95.0,Ethiopia,ETH,14.0,14.0,10,CAF,1993-08-08
94.0,Venezuela,VEN,14.0,5.0,-31,CONMEBOL,1993-08-08
93.0,Angola,ANG,15.0,10.0,-9,CAF,1993-08-08
92.0,Albania,ALB,15.0,14.0,6,UEFA,1993-08-08
91.0,Tanzania,TAN,15.0,15.0,11,CAF,1993-08-08
105.0,Barbados,BRB,11.0,7.0,-9,CONCACAF,1993-08-08
90.0,Yemen,YEM,17.0,6.0,-25,AFC,1993-08-08
88.0,Kenya,KEN,17.0,17.0,12,CAF,1993-08-08
